CO-BRANCH;OFFICE;PRODUCT;GROUP;Jan-25;Feb-25;Mar-25;Apr-25;May-25;Jun-25;Jul-25;Aug-25;Sep-25;Oct-25;Nov-25;Dec-25;Jan-26;Feb-26;Mar-26;Apr-26;May-26;Jun-26
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;Cicil_Emas;KOL2;0;0;0;0;0;0;0;111776161,4;99548023,2;423751715,7;706569338,4;502222390,7;0;1144310486;0;0;1009820712;2168741235
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;KPR;KOL2;1530194085;2658643258;1773840755;2346054826;2428101389;1689304714;1517997380;1728933896;3040903948;2234261892;2744237551;1512786822;2194329147;2197963183;2275448331;2445599443;2968823968;2162046493
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;Multiguna;KOL2;0;0;104830030,5;0;49854742,4;202304955,1;195326016,8;188265380,3;183382049,4;100293446,6;120993873,8;45589692,25;89805937,65;101204068,7;138508389;65633002,03;16587146,21;233182605
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;Prohajj;KOL2;40435425,4;55443655,78;63751472,03;123050904,3;129343974;195445759,4;134736849,2;121712426,2;47175704;30269488,12;148798886;219740762,4;148822122;320931590,2;554692008,8;361638947,4;344174243;427339029,5
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;SME;KOL2;1984865340;141126891,6;1960376792;1926299482;356329969,6;351796280;866314946,6;851201679,8;2554916124;120617020,4;1788977763;118222690,6;113361961,7;113361961,7;110895081,3;717723662,6;691209811,1;105887067,4
482 - MEDAN BARU;214 - KCP BINJAI;Cicil_Emas;KOL2;0;0;0;98914100,97;104808193,9;7125921,69;0;0;0;3129987,67;2099592,04;1056316,46;0;21822957,07;0;0;64153264,58;1202612985
482 - MEDAN BARU;214 - KCP BINJAI;KPR;KOL2;0;125829840;164006647;160569400,6;52790738,89;185154638,3;138920086,4;201446601,5;239284277,2;173401154;232498971,2;141845515;182649601,5;122140874,6;188945467,9;73927954,21;112239065,6;163699787,8
482 - MEDAN BARU;214 - KCP BINJAI;Multiguna;KOL2;61982765,44;51825102,11;51825102,11;51825102,11;179147203,9;179147203,9;128267202;170450485,2;42183283,19;39211604,22;134646985,1;133839713,8;133672029,9;133503647,3;473830441,8;127080915,6;126910419,5;137648387,3
482 - MEDAN BARU;214 - KCP BINJAI;Prohajj;KOL2;64802181,85;78233584,81;85613239,16;55109605,02;40006171,32;27106032,34;23627572,17;22700608,02;36036039,71;42102307,93;55598469,53;21666650,47;12496047,25;12496047,25;12043658,33;19337918,35;6554613,19;0
482 - MEDAN BARU;214 - KCP BINJAI;SME;KOL2;52630246,82;51048785,34;49447555,58;47826310,43;46184799,7;44522770,08;42839965,07;41136124,99;39410986,89;37664284,55;35895748,42;34105105,57;32292079,67;30456390,93;30456390,93;26715888,25;24810497,07;24810497,07
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;Cicil_Emas;KOL2;0;0;0;0;0;88060315,4;40175276,01;0;40249007,32;0;51594202,28;36682062,05;0;113089953,5;0;0;78849439,12;524461097,5
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;KPR;KOL2;161820130,1;160630221,4;392909938,6;387727077,4;83548119,13;81813976,89;433053198,5;151749858,6;147126835,2;589271682,3;255632099,1;140287293,9;246321345,1;221039905;215363807,7;147084129,7;309052819,7;240857588,8
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;Multiguna;KOL2;0;0;0;42953358,41;0;0;0;33925004,62;0;0;48419250,42;0;0;30579935,57;75002738,25;0;0;0
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;Prohajj;KOL2;27970904,87;27492855,37;27006440;10366077,98;10366077,98;0;8855159,8;0;0;0;0;0;0;0;0;0;27511798,73;108320644
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;SME;KOL2;0;0;0;0;0;0;0;0;0;30932275,24;52942692,52;0;0;49091962,74;0;0;0;0
221 - PEKANBARU;221 - PEKANBARU;Cicil_Emas;KOL2;0;0;0;0;0;0;363043445,3;374693333,5;0;15626390,3;38581284,49;46847492,07;0;72636452,93;0;0;773420552,5;495429797,4
221 - PEKANBARU;221 - PEKANBARU;KPR;KOL2;4930598685;5215576089;5417442691;5241425018;5547780338;4267530420;4815848642;4432086741;3942186833;4189901819;4666743739;3051954095;3659662992;3701175843;3780283835;4073290861;3759656394;3580340175
221 - PEKANBARU;221 - PEKANBARU;Multiguna;KOL2;0;37501369,1;55642581,68;36769980,28;36030668,08;103533132,5;137677205;292151043;252280493,5;260436602,1;229108961,5;219874332,5;167548379,2;205122464,3;199331103,5;125179125,8;122030125;121179692,9
221 - PEKANBARU;221 - PEKANBARU;Prohajj;KOL2;132631730,8;122050279,4;121696501,9;141130078;124073002,6;21416949,11;26235625,84;0;40568702,99;39261624,28;0;18109180,23;17656791,31;29240705,15;15638296,44;17031614,68;42559835,49;48971522,67
221 - PEKANBARU;221 - PEKANBARU;SME;KOL2;137024722,5;121234486,3;1097850242;1065603563;40358997,79;39137715,44;37905237,99;36661462,83;82532325,18;34139604,16;32861310,67;31571299,49;30269463,2;28955693,41;27629880,72;26291914,74;24941684,07;39448095958
221 - PEKANBARU;227 - KCP KAMPAR;Cicil_Emas;KOL2;0;0;0;0;0;0;0;0;0;0;0;0;0;364185000;0;0;54916236,11;641080644,9
221 - PEKANBARU;227 - KCP KAMPAR;KPR;KOL2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
221 - PEKANBARU;227 - KCP KAMPAR;Multiguna;KOL2;0;0;0;0;0;0;0;0;0;0;0;0;0;101722496,7;0;0;0;2628795,44
221 - PEKANBARU;227 - KCP KAMPAR;Prohajj;KOL2;0;0;26093803,75;37416892,77;0;0;0;0;0;0;0;0;0;0;138331384,5;140946466,6;133217409,6;0
221 - PEKANBARU;227 - KCP KAMPAR;SME;KOL2;124065191,1;120265064,2;116433301,2;112569638,9;112569638,9;112569638,9;100784588,4;100784588,4;100784588,4;0;0;0;76316646,6;72119012,93;72119012,93;63618618,73;0;54976103,79
211 - MEDAN BALAIKOTA;230 - KCP SERDANG;Cicil_Emas;KOL2;0;0;0;0;0;0;0;0;0;0;0;0;0;181565719,7;0;0;343321126;519180326,4
211 - MEDAN BALAIKOTA;230 - KCP SERDANG;KPR;KOL2;0;118830432,8;116760867;114669312,2;114669312,2;112555534,5;110419298;106078491,3;0;51012298,67;51012298,67;51012298,67;0;0;0;0;0;56673181,52
211 - MEDAN BALAIKOTA;230 - KCP SERDANG;Multiguna;KOL2;0;0;0;0;0;0;0;0;255549160,8;111914411,4;109213682,3;0;0;100920969,3;0;0;0;0
