CO-BRANCH;OFFICE;PRODUCT;GROUP;Dec-24;Jan-25;Feb-25;Mar-25;Apr-25;May-25;Jun-25;Jul-25;Aug-25;Sep-25;Oct-25;Nov-25;Dec-25;Jan-26;Feb-26;Mar-26;Apr-26;May-26;Jun-26
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;Deposito;TD;93.575;91.477;93.564;93.054;90.643;97.815;89.491;94.986;91.846;98.315;98.357;95.681;97.624;97.912;97.386;105.116;106.770;105.263;104.468
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;Giro;CASA;15.989;13.522;15.886;15.576;14.540;13.804;14.064;15.257;15.458;14.915;16.383;14.703;14.370;15.575;14.819;15.680;15.607;15.282;14.338
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;Tabungan;CASA;142.318;135.929;135.830;134.689;131.733;131.438;132.665;133.171;133.830;135.766;133.591;131.748;134.267;130.890;127.069;128.059;125.157;124.568;125.831
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;Deposito;TD;87.303;80.201;80.213;82.810;80.393;81.000;81.820;81.721;82.768;84.298;83.241;79.766;79.342;80.155;79.201;79.059;78.762;79.847;79.089
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;Giro;CASA;1.152;1.331;1.143;1.063;1.176;1.210;1.452;1.354;1.520;1.436;1.218;1.356;1.455;1.470;6.660;6.553;4.412;2.338;2.233
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;Tabungan;CASA;38.750;38.723;37.383;38.778;36.702;35.023;34.904;35.542;32.026;33.894;33.511;35.084;35.975;33.451;32.009;32.846;33.365;30.553;29.469
211 - MEDAN BALAIKOTA;230 - KCP SERDANG;Deposito;TD;49.410;49.628;48.195;55.102;53.324;52.588;51.087;51.264;41.492;46.668;43.282;37.520;38.137;31.544;34.746;39.221;41.302;41.512;39.775
211 - MEDAN BALAIKOTA;230 - KCP SERDANG;Giro;CASA;5.341;5.257;5.155;5.760;5.735;6.613;5.817;6.435;7.137;6.618;7.095;7.764;6.482;8.204;6.424;5.611;6.440;5.922;5.739
211 - MEDAN BALAIKOTA;230 - KCP SERDANG;Tabungan;CASA;36.106;35.423;33.602;35.528;34.937;34.639;33.146;32.257;31.481;30.791;31.632;31.287;33.919;34.035;31.787;32.456;30.962;32.050;28.779
211 - MEDAN BALAIKOTA;231 - PADANGSIDIMPUAN;Deposito;TD;15.447;15.615;15.522;16.719;16.365;16.534;16.835;16.906;16.768;16.233;15.878;16.771;17.211;16.935;17.276;17.952;18.168;18.006;17.991
211 - MEDAN BALAIKOTA;231 - PADANGSIDIMPUAN;Giro;CASA;4.961;5.090;6.491;6.168;5.666;5.363;5.888;5.915;5.451;7.819;6.015;6.095;5.199;5.292;7.081;7.539;6.378;5.363;5.862
211 - MEDAN BALAIKOTA;231 - PADANGSIDIMPUAN;Tabungan;CASA;63.012;62.526;61.074;61.347;59.638;59.093;59.297;59.469;57.221;57.315;58.677;58.894;63.325;63.201;62.502;60.790;60.521;59.824;60.551
211 - MEDAN BALAIKOTA;233 - KCP PANYABUNGAN;Deposito;TD;11.113;9.705;9.746;9.557;9.735;8.315;8.216;10.538;10.472;10.452;10.562;11.789;12.530;12.070;12.331;12.444;11.675;11.426;11.662
211 - MEDAN BALAIKOTA;233 - KCP PANYABUNGAN;Giro;CASA;361;470;380;447;425;428;453;427;410;362;372;434;385;378;387;468;420;469;438
211 - MEDAN BALAIKOTA;233 - KCP PANYABUNGAN;Tabungan;CASA;28.242;29.068;29.046;29.733;29.910;32.160;32.037;30.659;28.237;29.139;29.472;30.286;31.635;29.137;28.516;30.018;30.806;29.814;29.537
221 - PEKANBARU;221 - PEKANBARU;Deposito;TD;191.559;191.035;185.736;186.121;186.218;199.408;190.008;180.720;175.485;181.639;181.089;170.306;168.522;162.029;139.518;135.283;134.654;133.225;137.189
