CO-BRANCH;OFFICE;PRODUCT;GROUP;Jan-25;Feb-25;Mar-25;Apr-25;May-25;Jun-25;Jul-25;Aug-25;Sep-25;Oct-25;Nov-25;Dec-25;Jan-26;Feb-26;Mar-26;Apr-26;May-26;Jun-26
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;CICIL_EMAS;Consumer;161857265;281104955;570574587;873741308;300934967;647742519;237210200;460242286;1.004.111.830;1.268.106.099;1.323.142.000;4.627.765.644;2.089.626.667;2.075.922.598;4.145.374.676;1.876.058.957;299474469;367491912
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;KPR;Consumer;0;0;0;0;0;1.294.000.000;543000000;450000000;0;1.263.000.000;0;150000000;1.070.000.000;0;0;653700000;0;237500000
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;MULTIGUNA;Consumer;75000000;200000000;175000000;0;150000000;0;228490000;100000000;0;0;0;370000000;0;75000000;150000000;0;60000000;15000000
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;PROHAJJ;Consumer;0;0;0;0;0;0;560000000;270000000;630000000;560000000;350000000;210000000;630000000;140000000;0;0;428000000;308000000
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;SME;SME;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
482 - MEDAN BARU;214 - KCP BINJAI;CICIL_EMAS;Consumer;11993911;454082778;146435780;804443094;33422349;47229780;0;15025471;75244800;179884000;175133800;879729836;3.315.718.800;136105400;877439135;430796307;109399818;2.883.121.833
482 - MEDAN BARU;214 - KCP BINJAI;KPR;Consumer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
482 - MEDAN BARU;214 - KCP BINJAI;MULTIGUNA;Consumer;0;0;0;0;0;0;0;700000000;0;350000000;0;390000000;50000000;100000000;100000000;312000000;0;116000000
482 - MEDAN BARU;214 - KCP BINJAI;PROHAJJ;Consumer;0;0;0;0;0;0;0;0;0;0;0;0;0;140000000;0;0;0;0
482 - MEDAN BARU;214 - KCP BINJAI;SME;SME;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;CICIL_EMAS;Consumer;197186941;103396703;7089680;225404760;433478998;46828780;123727290;68673000;266282800;599178999;274243000;698295813;616488000;536203879;206757607;489040586;155678268;250293174
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;KPR;Consumer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;MULTIGUNA;Consumer;0;0;20000000;183000000;110000000;50000000;150000000;49584000;20000000;45000000;0;140000000;0;0;0;0;200000000;0
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;PROHAJJ;Consumer;0;0;0;0;0;0;0;0;140000000;0;140000000;0;0;0;0;0;0;0
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;SME;SME;0;0;0;0;0;0;0;0;0;0;0;0;0;5.000.000.000;0;2.100.000.000;0;0
