CO-BRANCH;OFFICE;PRODUCT;GROUP;Jan-25;Feb-25;Mar-25;Apr-25;May-25;Jun-25;Jul-25;Aug-25;Sep-25;Oct-25;Nov-25;Dec-25;Jan-26;Feb-26;Mar-26;Apr-26;May-26;Jun-26
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;Deposito;TD;91.477.194.041;93.564.210.999;93.053.947.847;90.643.475.299;97.815.444.757;89.491.061.035;94.986.320.141;91.846.051.529;98.315.159.736;98.357.306.276;95.680.886.676;97.624.250.342;97.912.019.879;97.385.680.210;105.115.735.619;106.769.799.194;105.262.896.402;104.203.403.498
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;Giro;CASA;13.522.108.231;15.885.621.002;15.576.103.376;14.539.672.000;13.804.224.978;14.064.448.154;15.256.555.836;15.458.227.106;14.914.726.863;16.382.967.087;14.702.701.987;14.369.580.448;15.574.782.348;14.819.090.195;15.680.296.281;15.606.971.338;15.282.048.230;15.894.721.879
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;Tabungan;CASA;135.929.495.976;135.829.765.048;134.689.221.639;131.732.806.493;131.437.768.548;132.665.303.968;133.170.695.427;133.829.507.238;135.766.169.648;133.590.807.362;131.747.719.455;134.266.854.557;130.889.925.078;127.068.688.280;128.059.136.577;125.157.051.711;124.568.316.036;126.943.737.931
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;Deposito;TD;80.201.032.411;80.212.648.131;82.810.173.139;80.393.349.697;81.000.370.011;81.820.254.319;81.720.799.827;82.767.540.522;84.297.612.907;83.240.879.230;79.765.997.370;79.341.770.373;80.155.442.255;79.200.923.909;79.058.671.403;78.761.746.349;79.847.499.049;80.900.306.748
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;Giro;CASA;1.330.570.538;1.143.021.207;1.062.751.001;1.175.668.211;1.210.298.323;1.451.946.721;1.354.008.395;1.519.528.754;1.435.948.699;1.218.026.836;1.356.185.040;1.455.335.844;1.470.374.531;6.659.907.504;6.553.405.735;4.411.845.898;2.337.805.322;2.470.838.962
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;Tabungan;CASA;38.722.617.736;37.383.051.231;38.778.430.138;36.702.359.888;35.023.019.403;34.904.350.793;35.541.945.048;32.025.863.952;33.893.689.275;33.511.346.579;35.083.971.615;35.974.527.825;33.451.328.021;32.009.142.936;32.846.094.101;33.365.348.900;30.552.689.981;28.999.403.827
211 - MEDAN BALAIKOTA;230 - KCP SERDANG;Deposito;TD;49.628.495.624;48.194.710.367;55.102.190.556;53.323.625.387;52.588.394.101;51.086.536.692;51.263.612.452;41.492.151.408;46.668.268.551;43.281.732.508;37.519.603.403;38.137.187.414;31.543.753.656;34.746.481.162;39.220.674.506;41.302.482.734;41.512.306.396;39.967.138.538
211 - MEDAN BALAIKOTA;230 - KCP SERDANG;Giro;CASA;5.256.619.525;5.154.993.392;5.760.323.872;5.735.375.788;6.612.750.704;5.817.302.300;6.434.576.291;7.137.363.169;6.617.506.961;7.095.134.268;7.763.729.202;6.481.691.783;8.204.099.790;6.424.363.522;5.610.616.260;6.439.514.359;5.922.337.914;5.727.358.080
211 - MEDAN BALAIKOTA;230 - KCP SERDANG;Tabungan;CASA;35.422.637.313;33.602.277.451;35.528.097.601;34.936.623.843;34.638.717.517;33.146.433.678;32.256.669.144;31.480.656.630;30.790.514.562;31.632.148.438;31.287.073.917;33.918.773.148;34.035.192.169;31.787.111.486;32.456.046.573;30.961.981.033;32.050.176.447;28.317.952.013
211 - MEDAN BALAIKOTA;231 - PADANGSIDIMPUAN;Deposito;TD;15.615.019.399;15.522.027.061;16.719.043.848;16.364.607.348;16.534.003.329;16.835.015.963;16.905.719.090;16.767.607.884;16.232.959.546;15.877.502.787;16.771.407.987;17.210.877.546;16.934.882.254;17.275.573.234;17.951.865.604;18.167.851.025;18.005.624.582;17.200.764.407
211 - MEDAN BALAIKOTA;231 - PADANGSIDIMPUAN;Giro;CASA;5.090.223.671;6.491.105.172;6.168.371.201;5.665.794.557;5.363.260.480;5.887.557.004;5.915.454.877;5.451.323.048;7.818.911.722;6.014.564.162;6.095.209.225;5.198.564.145;5.291.680.600;7.080.857.200;7.539.459.289;6.377.793.926;5.362.634.792;6.552.167.029
211 - MEDAN BALAIKOTA;231 - PADANGSIDIMPUAN;Tabungan;CASA;62.526.424.716;61.073.858.801;61.347.097.580;59.637.548.863;59.092.887.142;59.296.929.499;59.469.328.851;57.221.477.221;57.315.495.206;58.677.337.758;58.894.340.548;63.325.404.501;63.201.253.315;62.502.284.428;60.790.141.243;60.521.069.013;59.823.745.957;60.214.744.317
211 - MEDAN BALAIKOTA;233 - KCP PANYABUNGAN;Deposito;TD;9.705.269.027;9.746.356.027;9.556.984.027;9.735.049.667;8.315.026.027;8.216.069.027;10.538.069.027;10.472.319.027;10.452.169.027;10.561.939.027;11.788.848.571;12.529.813.112;12.069.556.673;12.331.231.071;12.444.294.295;11.675.202.275;11.426.137.740;11.864.747.541
211 - MEDAN BALAIKOTA;233 - KCP PANYABUNGAN;Giro;CASA;470406912,7;380141319,7;447387820,7;424510195,7;428152823,7;453487712;427026072,3;409532456,6;361793558,8;371738061,2;433870958,5;384845576,9;377532468,3;386820682,6;467509940;419885994,3;469487662,6;439646678,9
211 - MEDAN BALAIKOTA;233 - KCP PANYABUNGAN;Tabungan;CASA;29.068.401.764;29.045.681.479;29.732.668.196;29.909.685.009;32.159.715.963;32.037.423.068;30.659.142.749;28.237.297.383;29.138.503.128;29.472.427.290;30.285.851.858;31.635.090.553;29.137.287.479;28.516.002.991;30.017.614.647;30.805.822.946;29.813.915.879;30.508.600.066
221 - PEKANBARU;221 - PEKANBARU;Deposito;TD;191.035.406.333;185.736.118.392;186.120.972.160;186.218.409.967;199.408.197.199;190.007.911.841;180.720.038.379;175.484.727.467;181.638.984.895;181.088.897.224;170.306.357.043;168.521.643.171;162.028.792.659;139.517.880.774;135.282.972.305;134.654.408.054;133.225.269.488;137.753.783.307
221 - PEKANBARU;221 - PEKANBARU;Giro;CASA;32.349.010.681;43.070.701.028;43.568.001.517;46.836.126.247;45.380.938.631;26.321.614.166;34.151.734.408;31.552.924.226;32.870.537.081;31.687.499.199;34.981.378.435;37.906.609.559;44.676.418.001;44.636.747.841;42.496.658.952;44.526.773.908;40.849.331.754;31.382.164.088
221 - PEKANBARU;221 - PEKANBARU;Tabungan;CASA;166.257.363.919;156.395.859.536;159.811.601.583;156.598.152.336;156.074.640.801;157.430.551.254;152.816.722.809;149.629.448.143;148.615.129.799;147.336.430.367;147.021.719.749;148.720.929.459;144.453.313.779;145.242.947.404;144.229.948.358;140.409.389.650;139.927.847.598;141.012.469.738
221 - PEKANBARU;227 - KCP KAMPAR;Deposito;TD;35.816.264.202;35.256.626.022;35.646.953.292;34.754.897.764;34.395.438.391;34.116.042.321;34.436.626.540;34.743.278.781;34.359.270.103;35.159.413.832;35.214.224.001;34.698.434.241;33.914.555.107;33.736.802.772;34.586.553.878;33.742.679.871;34.685.000.996;35.455.662.358
221 - PEKANBARU;227 - KCP KAMPAR;Giro;CASA;3.324.983.361;2.378.910.913;1.368.891.697;2.111.661.475;1.817.536.376;2.556.463.262;2.421.269.302;2.713.789.663;2.318.366.421;2.505.642.585;3.374.794.248;4.933.543.731;3.739.823.939;2.868.655.009;3.207.169.749;2.148.992.502;4.701.476.335;4.423.312.669
221 - PEKANBARU;227 - KCP KAMPAR;Tabungan;CASA;34.254.362.134;32.405.231.193;34.913.398.504;35.671.178.332;36.621.526.530;34.140.552.409;32.075.838.779;31.684.993.525;32.816.212.819;33.427.365.981;33.743.431.195;33.881.034.102;33.300.694.906;33.124.949.242;32.753.446.327;34.452.922.273;33.384.693.560;33.864.585.157
221 - PEKANBARU;411 - BATAM;Deposito;TD;34.105.508.889;35.843.078.478;36.049.129.039;35.455.724.712;34.775.572.941;34.107.256.420;30.722.827.173;30.478.423.884;28.746.137.919;29.300.248.144;30.231.598.869;30.745.408.439;30.381.122.123;30.299.118.537;30.282.339.978;30.298.301.481;30.324.356.954;30.630.962.382
221 - PEKANBARU;411 - BATAM;Giro;CASA;15.553.158.842;13.867.306.808;13.842.153.488;14.381.728.974;14.413.641.117;16.672.284.035;17.333.687.091;15.904.210.313;16.859.084.474;14.003.058.573;15.972.948.338;17.820.535.935;16.707.610.400;15.901.662.359;15.377.902.058;15.209.556.264;15.020.826.980;16.680.758.030
221 - PEKANBARU;411 - BATAM;Tabungan;CASA;85.948.462.773;82.499.037.914;85.628.243.906;80.268.136.121;80.510.065.379;78.495.696.942;77.761.911.820;75.363.886.279;74.423.769.278;73.954.947.913;73.883.037.346;75.870.567.941;70.117.803.751;71.314.890.959;72.136.862.119;70.913.410.952;69.877.397.740;68.825.594.553
221 - PEKANBARU;451 - TANJUNG PINANG;Deposito;TD;42.734.329.983;40.804.713.411;40.516.935.545;40.154.290.350;39.239.660.953;38.431.879.778;38.383.537.334;39.085.452.421;40.255.013.633;39.052.732.740;39.225.659.693;39.199.862.338;39.359.979.599;36.833.122.442;37.068.648.970;34.693.541.238;34.622.067.873;33.581.784.384
221 - PEKANBARU;451 - TANJUNG PINANG;Giro;CASA;4.058.873.504;4.803.629.415;5.022.269.385;4.053.702.445;3.810.039.206;4.034.303.024;4.281.249.141;4.400.231.661;3.597.727.064;3.429.753.777;3.524.455.673;5.278.733.716;9.114.023.209;9.064.609.953;8.682.524.464;7.033.255.264;6.581.557.621;5.939.842.107
221 - PEKANBARU;451 - TANJUNG PINANG;Tabungan;CASA;57.439.506.819;55.586.418.540;56.852.373.369;55.469.286.952;54.307.829.260;55.161.569.288;55.754.675.535;54.466.364.251;51.953.033.904;52.846.822.953;52.982.412.289;53.130.060.524;51.688.724.113;50.848.432.726;51.028.741.536;53.627.178.257;52.846.417.527;52.728.229.661
241 - BANDA ACEH;241 - BANDA ACEH;Deposito;TD;42.812.249.642;40.978.117.090;38.638.983.884;38.085.620.011;38.343.147.933;37.139.383.735;36.359.289.270;35.626.275.965;35.251.895.086;35.160.924.251;33.789.578.898;34.645.865.081;33.114.404.998;33.466.657.668;31.312.062.643;30.156.080.594;29.992.099.739;33.331.761.859
241 - BANDA ACEH;241 - BANDA ACEH;Giro;CASA;4.209.168.089;4.947.007.427;4.456.642.250;4.283.323.233;3.920.182.298;3.776.735.514;6.090.022.923;4.111.792.047;3.906.970.146;4.768.637.026;4.855.169.227;4.643.877.782;5.639.415.077;6.631.980.553;6.446.420.910;6.080.261.689;5.462.881.182;6.415.364.798
241 - BANDA ACEH;241 - BANDA ACEH;Tabungan;CASA;48.848.055.793;47.831.244.204;47.366.116.286;46.614.699.993;45.208.837.486;45.769.228.903;44.903.398.121;44.512.664.501;44.868.910.213;44.462.318.751;44.031.902.789;43.489.883.632;39.307.568.547;40.162.621.630;38.617.477.629;38.181.489.090;37.942.185.542;38.240.333.443
241 - BANDA ACEH;261 - LANGSA;Deposito;TD;13.102.009.653;12.935.018.810;12.684.000.000;9.504.000.000;9.134.000.000;9.994.000.000;9.609.000.000;9.654.000.000;9.539.000.000;9.634.000.000;9.760.000.000;9.685.012.823;10.720.036.875;10.730.050.036;10.415.084.191;10.055.000.000;10.000.000.000;9.318.000.000
241 - BANDA ACEH;261 - LANGSA;Giro;CASA;4.265.485.742;4.343.991.459;3.710.988.599;3.986.802.459;4.073.510.004;3.661.585.027;2.517.604.993;2.430.736.818;2.473.090.069;2.446.394.437;2.604.498.708;2.557.899.455;2.724.754.048;2.767.008.026;4.312.564.097;4.698.794.582;4.473.064.232;4.761.631.205
241 - BANDA ACEH;261 - LANGSA;Tabungan;CASA;30.951.635.238;30.570.501.578;30.512.826.600;31.288.765.187;30.471.064.361;30.722.301.764;30.644.318.149;29.075.110.050;29.398.968.153;29.427.021.644;30.007.944.400;30.279.256.279;29.964.915.293;29.073.548.826;29.027.237.046;28.685.766.855;28.981.815.533;30.289.541.863
241 - BANDA ACEH;262 - KCP LHOKSEUMAWE;Deposito;TD;86.052.250.321;86.367.898.513;87.933.040.898;85.929.136.404;86.313.743.655;86.745.840.576;86.479.456.971;84.385.713.001;82.890.718.939;84.711.724.076;86.058.730.331;86.674.080.367;85.729.285.038;84.166.740.575;81.348.745.830;82.050.751.577;82.425.648.728;83.073.601.000
241 - BANDA ACEH;262 - KCP LHOKSEUMAWE;Giro;CASA;3.229.319.542;2.879.830.503;4.134.209.822;4.518.261.818;4.426.302.128;4.807.699.296;4.127.237.039;3.680.838.718;3.881.900.431;2.611.908.040;2.702.409.323;5.443.984.990;3.477.237.624;3.521.185.270;4.138.012.510;3.671.050.961;4.006.548.332;3.792.383.703
241 - BANDA ACEH;262 - KCP LHOKSEUMAWE;Tabungan;CASA;58.462.287.694;57.255.566.759;56.169.138.502;54.098.635.710;50.041.309.188;50.635.034.942;52.302.759.990;50.391.993.683;46.874.833.241;48.261.853.755;49.779.849.958;49.868.657.294;50.272.783.754;46.607.426.266;46.070.518.122;44.591.067.667;45.206.668.633;47.705.173.153
351 - LAMPUNG;351 - LAMPUNG;Deposito;TD;85.052.307.992;84.538.246.360;85.490.346.211;87.787.394.173;85.195.403.133;95.729.749.473;86.223.108.216;88.127.229.470;79.430.731.629;74.605.938.853;79.162.378.843;82.408.445.420;81.976.644.783;85.406.325.780;85.037.249.012;85.131.605.773;85.760.075.573;86.731.614.643
351 - LAMPUNG;351 - LAMPUNG;Giro;CASA;88.495.521.117;101.038.686.537;95.821.646.128;101.393.613.010;77.708.457.780;58.338.197.269;58.876.299.536;52.092.088.489;67.239.244.565;73.341.827.709;76.807.754.427;46.315.415.791;77.202.385.202;84.716.447.139;73.686.825.161;84.704.469.239;86.411.931.803;92.124.364.781
351 - LAMPUNG;351 - LAMPUNG;Tabungan;CASA;136.913.000.685;133.627.051.341;135.449.426.506;132.337.327.969;131.477.995.884;134.646.823.730;137.081.840.577;129.265.897.766;131.906.411.877;131.059.878.720;128.842.985.110;130.681.513.779;125.521.353.992;129.905.304.215;128.045.943.017;128.886.944.735;127.211.015.902;128.538.740.523
351 - LAMPUNG;352 - KCP BANDAR JAYA;Deposito;TD;23.530.145.505;18.682.118.321;12.405.698.623;12.441.753.615;12.426.919.335;16.590.221.704;28.891.816.840;31.002.272.792;32.383.661.475;26.897.599.301;27.651.169.537;28.007.457.686;24.976.337.081;23.136.842.723;23.071.141.397;19.048.625.465;17.884.398.126;16.549.884.730
