CO-BRANCH;OFFICE;PRODUCT;GROUP;Jan-25;Feb-25;Mar-25;Apr-25;May-25;Jun-25;Jul-25;Aug-25;Sep-25;Oct-25;Nov-25;Dec-25;Jan-26;Feb-26;Mar-26;Apr-26;May-26;Jun-26
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;Teller;Reguler;36;33;19;10;35;29;24;21;40;54;36;26;35;13;16;17;25;41
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;Mobile Banking;Reguler;31;17;23;18;26;23;38;30;12;20;15;27;6;10;20;18;22;18
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;Khusus;Khusus;6;0;0;0;3;8;9;27;13;11;20;15;20;22;2;9;4;16
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;Teller;Reguler;4;3;3;4;2;16;7;10;9;6;1;5;4;3;9;3;2;13
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;Mobile Banking;Reguler;1;0;0;1;4;1;0;0;0;0;0;1;0;1;0;0;0;0
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;Khusus;Khusus;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0
211 - MEDAN BALAIKOTA;230 - KCP SERDANG;Teller;Reguler;5;11;6;3;4;5;6;3;5;4;6;4;4;4;1;3;6;5
211 - MEDAN BALAIKOTA;230 - KCP SERDANG;Mobile Banking;Reguler;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;4
211 - MEDAN BALAIKOTA;230 - KCP SERDANG;Khusus;Khusus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
211 - MEDAN BALAIKOTA;231 - PADANGSIDIMPUAN;Teller;Reguler;7;2;7;5;12;15;28;11;12;14;6;27;11;2;9;14;9;5
211 - MEDAN BALAIKOTA;231 - PADANGSIDIMPUAN;Mobile Banking;Reguler;13;5;5;7;6;8;18;4;17;20;6;12;7;4;15;12;7;11
211 - MEDAN BALAIKOTA;231 - PADANGSIDIMPUAN;Khusus;Khusus;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
211 - MEDAN BALAIKOTA;233 - KCP PANYABUNGAN;Teller;Reguler;8;8;16;6;17;10;21;17;10;5;8;4;15;2;2;4;3;12
211 - MEDAN BALAIKOTA;233 - KCP PANYABUNGAN;Mobile Banking;Reguler;2;3;0;9;24;8;21;10;11;32;13;21;29;15;15;26;22;18
211 - MEDAN BALAIKOTA;233 - KCP PANYABUNGAN;Khusus;Khusus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
221 - PEKANBARU;221 - PEKANBARU;Teller;Reguler;16;2;2;5;10;18;10;8;9;7;12;19;33;10;0;2;20;15
221 - PEKANBARU;221 - PEKANBARU;Mobile Banking;Reguler;11;12;10;17;13;8;8;10;6;7;4;14;4;2;2;4;13;1
221 - PEKANBARU;221 - PEKANBARU;Khusus;Khusus;23;27;16;35;22;77;53;41;7;29;33;26;21;26;10;16;29;38
221 - PEKANBARU;227 - KCP KAMPAR;Teller;Reguler;2;6;6;7;16;20;9;3;3;9;1;17;14;7;2;9;19;7
221 - PEKANBARU;227 - KCP KAMPAR;Mobile Banking;Reguler;16;17;7;14;44;26;24;21;29;35;18;31;19;8;9;21;30;30
221 - PEKANBARU;227 - KCP KAMPAR;Khusus;Khusus;0;2;0;0;0;2;0;0;4;2;4;4;4;1;0;2;0;10
221 - PEKANBARU;411 - BATAM;Teller;Reguler;7;18;4;3;6;7;3;8;26;10;12;17;0;2;1;7;9;4
221 - PEKANBARU;411 - BATAM;Mobile Banking;Reguler;1;0;1;5;10;10;4;2;3;6;0;2;0;4;3;3;0;3
221 - PEKANBARU;411 - BATAM;Khusus;Khusus;6;0;3;4;17;54;7;12;29;6;3;12;13;1;18;5;8;11
221 - PEKANBARU;451 - TANJUNG PINANG;Teller;Reguler;4;5;8;3;8;8;5;5;9;7;1;7;2;2;7;0;2;0
221 - PEKANBARU;451 - TANJUNG PINANG;Mobile Banking;Reguler;2;0;2;9;4;6;8;3;4;3;2;5;3;4;2;2;1;10
221 - PEKANBARU;451 - TANJUNG PINANG;Khusus;Khusus;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;2;6
241 - BANDA ACEH;241 - BANDA ACEH;Teller;Reguler;73;34;27;75;80;77;49;48;52;69;33;54;49;32;11;26;32;51
241 - BANDA ACEH;241 - BANDA ACEH;Mobile Banking;Reguler;0;1;1;6;7;0;1;3;1;0;0;0;1;0;1;0;1;2
241 - BANDA ACEH;241 - BANDA ACEH;Khusus;Khusus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
241 - BANDA ACEH;261 - LANGSA;Teller;Reguler;49;53;28;59;57;78;126;55;56;47;27;5;9;5;12;32;38;63
241 - BANDA ACEH;261 - LANGSA;Mobile Banking;Reguler;0;0;1;1;2;7;6;0;3;2;6;1;8;3;7;3;4;5
241 - BANDA ACEH;261 - LANGSA;Khusus;Khusus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
241 - BANDA ACEH;262 - KCP LHOKSEUMAWE;Teller;Reguler;36;24;19;30;37;68;54;30;18;26;6;20;25;14;16;23;38;18
241 - BANDA ACEH;262 - KCP LHOKSEUMAWE;Mobile Banking;Reguler;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
241 - BANDA ACEH;262 - KCP LHOKSEUMAWE;Khusus;Khusus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
351 - LAMPUNG;351 - LAMPUNG;Teller;Reguler;20;15;7;17;29;27;29;12;20;22;30;40;19;18;8;11;33;21
351 - LAMPUNG;351 - LAMPUNG;Mobile Banking;Reguler;29;25;15;27;42;39;108;56;47;58;32;59;34;24;18;25;22;33
351 - LAMPUNG;351 - LAMPUNG;Khusus;Khusus;6;2;4;1;3;18;23;10;9;6;6;7;2;6;2;3;3;1
351 - LAMPUNG;352 - KCP BANDAR JAYA;Teller;Reguler;45;37;17;39;40;50;92;63;63;70;65;94;76;71;18;57;100;87
351 - LAMPUNG;352 - KCP BANDAR JAYA;Mobile Banking;Reguler;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
351 - LAMPUNG;352 - KCP BANDAR JAYA;Khusus;Khusus;0;3;0;5;2;22;2;0;4;9;15;6;0;6;0;0;1;0
351 - LAMPUNG;353 - KCP METRO LAMPUNG;Teller;Reguler;22;27;18;34;46;50;75;27;28;27;20;46;35;26;16;56;53;65
351 - LAMPUNG;353 - KCP METRO LAMPUNG;Mobile Banking;Reguler;14;16;12;33;30;32;37;25;19;21;12;23;20;9;8;24;14;39
351 - LAMPUNG;353 - KCP METRO LAMPUNG;Khusus;Khusus;7;5;6;0;1;0;0;4;6;0;0;0;2;0;0;7;2;0
351 - LAMPUNG;355 - KCP ZA PAGAR ALAM LAMPUNG;Teller;Reguler;5;5;13;7;5;12;7;8;12;6;7;4;4;4;8;8;12;8
351 - LAMPUNG;355 - KCP ZA PAGAR ALAM LAMPUNG;Mobile Banking;Reguler;2;0;1;1;1;3;0;0;2;1;2;0;5;0;2;1;0;6
351 - LAMPUNG;355 - KCP ZA PAGAR ALAM LAMPUNG;Khusus;Khusus;0;0;0;0;0;0;0;0;0;0;2;1;0;0;2;0;0;0
351 - LAMPUNG;356 - KCP KOTABUMI LAMPUNG;Teller;Reguler;36;49;30;49;27;28;52;30;46;44;23;38;22;14;13;35;57;64
351 - LAMPUNG;356 - KCP KOTABUMI LAMPUNG;Mobile Banking;Reguler;4;0;0;3;17;14;16;12;26;14;13;10;8;9;6;14;19;5
351 - LAMPUNG;356 - KCP KOTABUMI LAMPUNG;Khusus;Khusus;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0
361 - PALEMBANG;361 - PALEMBANG;Teller;Reguler;8;5;6;15;10;16;4;2;9;10;7;9;10;5;1;10;7;15
361 - PALEMBANG;361 - PALEMBANG;Mobile Banking;Reguler;0;5;0;9;1;4;2;7;1;3;1;5;7;1;4;4;5;4
361 - PALEMBANG;361 - PALEMBANG;Khusus;Khusus;11;44;19;9;17;35;64;23;13;24;21;37;11;20;3;6;29;4
361 - PALEMBANG;366 - KCP PLAJU;Teller;Reguler;0;8;3;12;7;16;9;29;14;77;30;33;12;10;5;11;51;23
361 - PALEMBANG;366 - KCP PLAJU;Mobile Banking;Reguler;0;0;0;0;0;0;0;1;5;2;0;0;0;0;0;0;0;0
361 - PALEMBANG;366 - KCP PLAJU;Khusus;Khusus;0;2;0;0;0;8;0;4;4;4;5;15;8;2;0;2;11;4
361 - PALEMBANG;398 - KCP BATURAJA;Teller;Reguler;87;64;42;50;68;80;146;97;117;140;84;125;46;10;1;5;15;10
361 - PALEMBANG;398 - KCP BATURAJA;Mobile Banking;Reguler;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
361 - PALEMBANG;398 - KCP BATURAJA;Khusus;Khusus;4;0;2;2;0;2;9;8;4;2;2;2;6;1;0;2;1;2
361 - PALEMBANG;401 - KCP ENIM;Teller;Reguler;27;29;10;46;39;34;34;37;19;54;30;29;17;14;4;3;17;2
361 - PALEMBANG;401 - KCP ENIM;Mobile Banking;Reguler;4;1;0;0;3;0;3;1;0;1;2;0;0;0;1;4;1;6
361 - PALEMBANG;401 - KCP ENIM;Khusus;Khusus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
371 - PANGKAL PINANG;371 - PANGKAL PINANG;Teller;Reguler;14;10;14;21;36;19;15;24;14;14;20;28;16;4;8;13;28;18
371 - PANGKAL PINANG;371 - PANGKAL PINANG;Mobile Banking;Reguler;4;0;2;1;4;3;4;0;0;1;4;8;5;3;2;3;6;8
371 - PANGKAL PINANG;371 - PANGKAL PINANG;Khusus;Khusus;0;0;0;0;0;0;1;3;0;10;2;2;0;0;0;0;0;0
371 - PANGKAL PINANG;372 - KCP TANJUNG PANDAN;Teller;Reguler;5;5;9;9;12;18;5;7;10;12;3;11;2;8;1;2;6;12
371 - PANGKAL PINANG;372 - KCP TANJUNG PANDAN;Mobile Banking;Reguler;3;1;2;2;0;0;2;2;0;0;0;0;0;0;0;0;0;29
371 - PANGKAL PINANG;372 - KCP TANJUNG PANDAN;Khusus;Khusus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
371 - PANGKAL PINANG;373 - KCP SUNGAILIAT;Teller;Reguler;6;9;2;4;6;5;5;2;7;4;3;8;17;4;4;4;5;9
371 - PANGKAL PINANG;373 - KCP SUNGAILIAT;Mobile Banking;Reguler;18;13;1;10;22;36;23;13;7;19;11;18;19;8;3;6;24;18
371 - PANGKAL PINANG;373 - KCP SUNGAILIAT;Khusus;Khusus;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
371 - PANGKAL PINANG;495 - KCP KOBA;Teller;Reguler;6;2;2;4;17;9;4;8;4;8;5;4;2;5;1;4;0;3
371 - PANGKAL PINANG;495 - KCP KOBA;Mobile Banking;Reguler;4;4;2;5;21;13;20;9;16;23;12;19;8;10;7;28;30;34
371 - PANGKAL PINANG;495 - KCP KOBA;Khusus;Khusus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
421 - PADANG;421 - PADANG;Teller;Reguler;6;0;0;5;2;4;3;5;1;0;7;5;5;3;7;0;1;3
421 - PADANG;421 - PADANG;Mobile Banking;Reguler;1;4;4;3;5;14;12;5;4;4;4;5;3;6;8;7;3;6
421 - PADANG;421 - PADANG;Khusus;Khusus;13;10;3;12;12;35;45;41;24;19;14;20;22;42;13;32;52;14
421 - PADANG;422 - KCP BUKITTINGGI;Teller;Reguler;2;5;4;5;8;9;24;5;1;7;12;7;3;0;5;7;8;1
421 - PADANG;422 - KCP BUKITTINGGI;Mobile Banking;Reguler;0;0;0;1;0;2;5;1;0;0;0;0;0;0;0;0;0;0
421 - PADANG;422 - KCP BUKITTINGGI;Khusus;Khusus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
421 - PADANG;423 - KCP PAYAKUMBUH;Teller;Reguler;7;1;3;5;12;7;6;2;8;6;1;7;1;11;4;3;4;4
421 - PADANG;423 - KCP PAYAKUMBUH;Mobile Banking;Reguler;0;0;0;0;0;0;0;0;6;1;1;0;0;0;0;0;0;0
421 - PADANG;423 - KCP PAYAKUMBUH;Khusus;Khusus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
421 - PADANG;424 - KCP SOLOK;Teller;Reguler;5;3;1;5;7;6;9;3;7;0;2;3;6;5;1;5;1;1
421 - PADANG;424 - KCP SOLOK;Mobile Banking;Reguler;1;4;4;8;3;4;17;0;3;4;5;5;3;3;0;5;6;4
421 - PADANG;424 - KCP SOLOK;Khusus;Khusus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
431 - BENGKULU;431 - BENGKULU;Teller;Reguler;22;26;22;25;23;34;31;30;26;32;17;37;33;42;30;36;31;62
