CO-BRANCH;OFFICE;PRODUCT;GROUP;Jan-25;Feb-25;Mar-25;Apr-25;May-25;Jun-25;Jul-25;Aug-25;Sep-25;Oct-25;Nov-25;Dec-25;Jan-26;Feb-26;Mar-26;Apr-26;May-26;Jun-26
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;MDIN;ALL;71;56;162;39;49;49;65;62;68;71;61;79;85;60;55;49;68;60
482 - MEDAN BARU;214 - KCP BINJAI;MDIN;ALL;27;31;18;14;21;21;42;25;31;30;29;18;31;20;34;33;22;20
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;MDIN;ALL;21;33;39;13;20;23;25;30;29;32;28;19;30;10;23;16;15;10
221 - PEKANBARU;221 - PEKANBARU;MDIN;ALL;104;76;85;63;70;64;113;86;78;80;64;107;60;40;121;56;68;40
221 - PEKANBARU;227 - KCP KAMPAR;MDIN;ALL;59;31;28;42;62;53;67;73;47;63;40;57;53;38;27;51;113;38
211 - MEDAN BALAIKOTA;230 - KCP SERDANG;MDIN;ALL;17;30;51;12;14;18;34;28;10;10;27;15;51;11;22;17;17;11
211 - MEDAN BALAIKOTA;231 - PADANGSIDIMPUAN;MDIN;ALL;48;47;110;30;52;84;68;48;99;82;49;62;178;34;57;94;38;34
211 - MEDAN BALAIKOTA;233 - KCP PANYABUNGAN;MDIN;ALL;17;26;11;16;31;19;46;24;23;49;30;48;55;27;31;47;30;27
241 - BANDA ACEH;241 - BANDA ACEH;MDIN;ALL;30;47;71;41;58;29;45;41;37;29;22;29;75;156;40;56;120;156
482 - MEDAN BARU;251 - PEMATANG SIANTAR;MDIN;ALL;12;30;27;22;14;44;12;11;20;30;15;18;22;10;26;14;18;10
482 - MEDAN BARU;252 - KCP KISARAN;MDIN;ALL;12;25;22;30;34;102;28;16;24;20;21;35;14;27;12;63;48;27
241 - BANDA ACEH;261 - LANGSA;MDIN;ALL;35;30;21;26;34;53;63;42;60;23;24;17;175;20;47;35;25;20
241 - BANDA ACEH;262 - KCP LHOKSEUMAWE;MDIN;ALL;23;32;11;21;103;22;26;57;21;36;26;20;194;29;52;60;41;29
351 - LAMPUNG;351 - LAMPUNG;MDIN;ALL;77;77;65;115;78;73;168;98;84;97;66;142;78;61;54;84;71;61
351 - LAMPUNG;352 - KCP BANDAR JAYA;MDIN;ALL;31;14;8;26;30;19;27;27;21;20;15;27;18;12;18;30;16;12
351 - LAMPUNG;353 - KCP METRO LAMPUNG;MDIN;ALL;133;64;41;59;106;59;72;82;76;69;127;69;74;65;56;91;56;65
351 - LAMPUNG;355 - KCP ZA PAGAR ALAM LAMPUNG;MDIN;ALL;32;39;19;34;23;29;41;44;27;41;25;35;50;50;69;48;37;50
351 - LAMPUNG;356 - KCP KOTABUMI LAMPUNG;MDIN;ALL;29;20;18;27;33;31;40;51;60;57;57;38;45;24;35;39;34;24
361 - PALEMBANG;361 - PALEMBANG;MDIN;ALL;42;63;62;72;53;72;72;56;38;69;100;90;63;61;57;84;57;61
