CO-BRANCH;OFFICE;PRODUCT;GROUP;Dec-24;Jan-25;Feb-25;Mar-25;Apr-25;May-25;Jun-25;Jul-25;Aug-25;Sep-25;Oct-25;Nov-25;Dec-25;Jan-26;Feb-26;Mar-26;Apr-26;May-26;Jun-26
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;CICIL_EMAS;Consumer;6;162;281;571;874;301;648;237;460;1.004;1.268;1.323;4.628;2.090;2.076;4.145;1.876;299;244
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;KPR;Consumer;0;0;0;0;0;0;1.294;543;450;0;1.263;0;150;1.070;0;0;654;0;0
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;MULTIGUNA;Consumer;1.270;75;200;175;0;150;0;228;100;0;0;0;370;0;75;150;0;60;0
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;PROHAJJ;Consumer;0;0;0;0;0;0;0;560;270;630;560;350;210;630;140;0;0;428;0
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;SME;SME;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
482 - MEDAN BARU;214 - KCP BINJAI;CICIL_EMAS;Consumer;24;12;454;146;804;33;47;0;15;75;180;175;880;3.316;136;877;431;109;22
482 - MEDAN BARU;214 - KCP BINJAI;KPR;Consumer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
482 - MEDAN BARU;214 - KCP BINJAI;MULTIGUNA;Consumer;0;0;0;0;0;0;0;0;700;0;350;0;390;50;100;100;312;0;0
482 - MEDAN BARU;214 - KCP BINJAI;PROHAJJ;Consumer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;140;0;0;0;0
482 - MEDAN BARU;214 - KCP BINJAI;SME;SME;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;CICIL_EMAS;Consumer;15;197;103;7;225;433;47;124;69;266;599;274;698;616;536;207;489;156;0
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;KPR;Consumer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;MULTIGUNA;Consumer;200;0;0;20;183;110;50;150;50;20;45;0;140;0;0;0;0;200;0
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;PROHAJJ;Consumer;0;0;0;0;0;0;0;0;0;140;0;140;0;0;0;0;0;0;0
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;SME;SME;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.000;0;2.100;0;0
221 - PEKANBARU;221 - PEKANBARU;CICIL_EMAS;Consumer;0;34;2.544;364;1.094;610;0;483;2.001;839;1.053;859;2.261;2.652;1.930;1.738;562;1.963;41
221 - PEKANBARU;221 - PEKANBARU;KPR;Consumer;0;0;0;0;0;0;170;0;0;148;0;215;0;0;0;200;250;495;0
221 - PEKANBARU;221 - PEKANBARU;MULTIGUNA;Consumer;130;0;0;716;127;39;1.070;190;200;24;40;232;232;0;50;0;0;20;0
221 - PEKANBARU;221 - PEKANBARU;PROHAJJ;Consumer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;220;0;0
221 - PEKANBARU;221 - PEKANBARU;SME;SME;20.000;0;0;0;0;10.000;0;0;0;0;0;0;5.000;5.500;0;0;200;0;0
221 - PEKANBARU;227 - KCP KAMPAR;CICIL_EMAS;Consumer;0;8;151;597;997;378;282;186;554;276;786;670;1.392;4.862;161;754;1.102;261;204
221 - PEKANBARU;227 - KCP KAMPAR;KPR;Consumer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
221 - PEKANBARU;227 - KCP KAMPAR;MULTIGUNA;Consumer;177;0;140;108;406;404;485;403;389;137;409;115;264;195;200;65;70;95;0
221 - PEKANBARU;227 - KCP KAMPAR;PROHAJJ;Consumer;0;0;110;0;0;140;0;0;110;140;90;280;420;140;70;0;110;0;0
221 - PEKANBARU;227 - KCP KAMPAR;SME;SME;500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211 - MEDAN BALAIKOTA;230 - KCP SERDANG;CICIL_EMAS;Consumer;12;12;675;13;49;22;47;38;72;80;1.664;121;709;758;1.656;963;112;769;146
211 - MEDAN BALAIKOTA;230 - KCP SERDANG;KPR;Consumer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211 - MEDAN BALAIKOTA;230 - KCP SERDANG;MULTIGUNA;Consumer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211 - MEDAN BALAIKOTA;230 - KCP SERDANG;PROHAJJ;Consumer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211 - MEDAN BALAIKOTA;230 - KCP SERDANG;SME;SME;0;0;0;200;0;0;0;0;0;0;0;0;0;0;0;6.500;0;0;0
211 - MEDAN BALAIKOTA;231 - PADANGSIDIMPUAN;CICIL_EMAS;Consumer;0;15;157;115;266;606;150;160;149;111;732;886;352;539;269;940;738;179;176
211 - MEDAN BALAIKOTA;231 - PADANGSIDIMPUAN;KPR;Consumer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211 - MEDAN BALAIKOTA;231 - PADANGSIDIMPUAN;MULTIGUNA;Consumer;2.530;200;199;320;193;230;115;117;729;265;268;70;624;465;397;95;220;245;80
211 - MEDAN BALAIKOTA;231 - PADANGSIDIMPUAN;PROHAJJ;Consumer;0;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0
211 - MEDAN BALAIKOTA;231 - PADANGSIDIMPUAN;SME;SME;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211 - MEDAN BALAIKOTA;233 - KCP PANYABUNGAN;CICIL_EMAS;Consumer;0;78;20;0;41;0;0;0;276;43;404;1.537;94;322;636;105;542;150;54
211 - MEDAN BALAIKOTA;233 - KCP PANYABUNGAN;KPR;Consumer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211 - MEDAN BALAIKOTA;233 - KCP PANYABUNGAN;MULTIGUNA;Consumer;50;60;105;40;0;213;0;0;40;0;0;25;0;0;120;0;0;50;0
211 - MEDAN BALAIKOTA;233 - KCP PANYABUNGAN;PROHAJJ;Consumer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211 - MEDAN BALAIKOTA;233 - KCP PANYABUNGAN;SME;SME;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
241 - BANDA ACEH;241 - BANDA ACEH;CICIL_EMAS;Consumer;0;41;77;33;23;115;47;19;47;82;182;135;179;613;454;182;135;53;143
241 - BANDA ACEH;241 - BANDA ACEH;KPR;Consumer;0;0;0;304;0;0;0;0;0;0;0;0;350;0;0;0;0;0;0
241 - BANDA ACEH;241 - BANDA ACEH;MULTIGUNA;Consumer;100;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0
241 - BANDA ACEH;241 - BANDA ACEH;PROHAJJ;Consumer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
241 - BANDA ACEH;241 - BANDA ACEH;SME;SME;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
482 - MEDAN BARU;251 - PEMATANG SIANTAR;CICIL_EMAS;Consumer;0;16;129;13;58;0;189;0;15;40;274;129;96;267;542;316;750;124;0
482 - MEDAN BARU;251 - PEMATANG SIANTAR;KPR;Consumer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
482 - MEDAN BARU;251 - PEMATANG SIANTAR;MULTIGUNA;Consumer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
482 - MEDAN BARU;251 - PEMATANG SIANTAR;PROHAJJ;Consumer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
482 - MEDAN BARU;251 - PEMATANG SIANTAR;SME;SME;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
482 - MEDAN BARU;252 - KCP KISARAN;CICIL_EMAS;Consumer;0;13;217;68;225;123;51;8;24;35;267;523;283;92;14;1.020;385;374;0
482 - MEDAN BARU;252 - KCP KISARAN;KPR;Consumer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
482 - MEDAN BARU;252 - KCP KISARAN;MULTIGUNA;Consumer;15;0;0;0;0;65;0;1.005;2.722;1.910;1.150;555;1.112;415;623;0;0;0;0
482 - MEDAN BARU;252 - KCP KISARAN;PROHAJJ;Consumer;0;0;0;0;0;0;0;0;0;280;0;140;70;0;0;0;0;2.492;576
482 - MEDAN BARU;252 - KCP KISARAN;SME;SME;0;0;0;0;0;0;0;0;0;0;1.000;0;0;0;0;0;0;1.750;0
241 - BANDA ACEH;261 - LANGSA;CICIL_EMAS;Consumer;0;0;0;7;0;0;38;0;53;33;235;231;26;260;14;219;112;399;565
241 - BANDA ACEH;261 - LANGSA;KPR;Consumer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
241 - BANDA ACEH;261 - LANGSA;MULTIGUNA;Consumer;35;0;0;0;30;0;0;30;15;0;0;0;190;0;0;0;0;0;0
241 - BANDA ACEH;261 - LANGSA;PROHAJJ;Consumer;0;0;0;0;0;0;0;0;0;0;0;140;0;0;0;0;0;0;0
241 - BANDA ACEH;261 - LANGSA;SME;SME;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
241 - BANDA ACEH;262 - KCP LHOKSEUMAWE;CICIL_EMAS;Consumer;0;8;295;662;531;312;244;47;442;562;572;977;1.080;1.335;1.011;1.162;1.329;674;364
241 - BANDA ACEH;262 - KCP LHOKSEUMAWE;KPR;Consumer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
241 - BANDA ACEH;262 - KCP LHOKSEUMAWE;MULTIGUNA;Consumer;49;0;30;48;0;128;0;0;50;25;0;0;35;0;30;0;0;15;30
241 - BANDA ACEH;262 - KCP LHOKSEUMAWE;PROHAJJ;Consumer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;140;0;0
241 - BANDA ACEH;262 - KCP LHOKSEUMAWE;SME;SME;0;0;0;0;0;1.500;0;0;0;0;0;0;0;0;0;0;0;0;0
351 - LAMPUNG;351 - LAMPUNG;CICIL_EMAS;Consumer;0;62;276;233;812;463;610;237;1.006;485;2.083;2.159;4.244;2.366;1.387;276;518;485;109
351 - LAMPUNG;351 - LAMPUNG;KPR;Consumer;0;0;0;0;0;0;636;0;255;0;280;0;0;100;0;0;0;0;0
351 - LAMPUNG;351 - LAMPUNG;MULTIGUNA;Consumer;2.157;458;298;479;122;364;95;114;234;180;50;0;444;236;0;0;0;0;0
351 - LAMPUNG;351 - LAMPUNG;PROHAJJ;Consumer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
351 - LAMPUNG;351 - LAMPUNG;SME;SME;0;0;0;1.700;0;0;6.000;0;0;4.100;6.500;20.000;4.000;0;0;0;0;0;0
351 - LAMPUNG;352 - KCP BANDAR JAYA;CICIL_EMAS;Consumer;0;41;90;126;179;129;3.337;195;363;942;2.081;3.864;363;4.417;1.432;439;138;123;68
351 - LAMPUNG;352 - KCP BANDAR JAYA;KPR;Consumer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
351 - LAMPUNG;352 - KCP BANDAR JAYA;MULTIGUNA;Consumer;100;0;0;0;0;0;0;110;0;0;0;0;0;0;0;0;0;0;0
351 - LAMPUNG;352 - KCP BANDAR JAYA;PROHAJJ;Consumer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
